CurrentName,Description,ProposedNewName,Why
Add-AdoTeamMember,Adds a user (by email) to an Azure DevOps team via the Teams members REST API.,Add-Adoteammember,'Add' is approved; normalized to 'Add-Adoteammember'.
Clear-GitCredentials,Clears Git credentials from Windows Credential Manager.,Clear-Gitcredentials,'Clear' is approved; normalized to 'Clear-Gitcredentials'.
Complete-MigrationProgress,Completes a progress tracking session.,Complete-Migrationprogress,'Complete' is approved; normalized to 'Complete-Migrationprogress'.
Ensure-AdoArea,Ensures a project area path exists by querying classification nodes and creating it when missing.,Measure-Adoarea,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoBestPracticesWiki,"Creates best-practice wiki pages (performance, error handling, logging, testing, documentation) from templates.",Measure-Adobestpracticeswiki,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoBranchPolicies,"Applies required reviewers, work-item linking, comment resolution, and optional build/status policies to a repo branch using the policy configuration API.",New-Adobranchpolicies,Mapped from keywords in description ('create|generate|build|provision|allocate|instantiate|compose') to approved verb 'New'.
Ensure-AdoBusinessQueries,"Creates business-facing shared WIQL queries (sprint commitment, unestimated stories, risk tracking, KPIs, etc.) in Shared Queries.",Measure-Adobusinessqueries,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoBusinessWiki,"Publishes business operations wiki pages (decision log, risks/issues, KPIs, communications, cutover timeline) from markdown templates.",Measure-Adobusinesswiki,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoCommonTags,Creates or updates the Tag Guidelines wiki page documenting standard tags and usage conventions.,Measure-Adocommontags,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoDashboard,"Builds the default team dashboard with burndown, velocity, work-item distribution, and query widgets.",Search-Adodashboard,Mapped from keywords in description ('search|find|query|discover|locate|scan') to approved verb 'Search'.
Ensure-AdoDevDashboard,"Creates the Development Metrics dashboard (PRs, build success, WIP, burndown, test pass rate) and writes the Component Tags wiki page.",New-Adodevdashboard,Mapped from keywords in description ('create|generate|build|provision|allocate|instantiate|compose') to approved verb 'New'.
Ensure-AdoDevQueries,"Creates a Development query folder and seeds it with WIQL queries for reviews, technical debt, and recently completed work.",Search-Adodevqueries,Mapped from keywords in description ('search|find|query|discover|locate|scan') to approved verb 'Search'.
Ensure-AdoDevWiki,"Generates development wiki pages for ADRs, setup, API docs, Git workflow, reviews, troubleshooting, and dependencies.",Measure-Adodevwiki,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoIterations,"Calculates upcoming sprint dates, creates the iterations, and assigns them to the team as needed.",Measure-Adoiterations,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoManagementDashboard,"Creates a Program Management dashboard highlighting program health, velocity, risks, burndown, and milestones.",Test-Adomanagementdashboard,Mapped from keywords in description ('test|check|validate|verify|probe|ping|health') to approved verb 'Test'.
Ensure-AdoManagementQueries,"Creates management-focused queries (program status, sprint progress, risks, issues, dependencies, milestones) under Shared Queries/Management.",Measure-Adomanagementqueries,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoManagementWiki,"Publishes management/PMO wiki guides (program overview, planning, reporting, release management, etc.) from templates.",Measure-Adomanagementwiki,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoProject,"Ensures the Azure DevOps project exists, creating it with the requested process template if it does not.",Measure-Adoproject,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoProjectWiki,Checks for a project wiki and creates one via the wiki API when it is absent.,Measure-Adoprojectwiki,Chose closest approved verb to 'Ensure' by similarity.
Ensure-AdoQADashboard,"Creates a QA dashboard visualising test execution, bug severity/priority, coverage, and regression queues.",Test-Adoqadashboard,Mapped from keywords in description ('test|check|validate|verify|probe|ping|health') to approved verb 'Test'.
